# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
30 -62 10 -0.0101919 -0.0271148 -0.000100947 -0.087701 -0.331808 0.000880094 -0.00459151 0.00151739 0.0352635 9.53037e-05 -6.59831e-06 -0.000136214 -0.000455403 0.000174002 -5.38809e-05
30 -61.5 10 -0.0100755 -0.028046 -2.21584e-05 -0.0847498 -0.339353 0.00168562 -0.00460553 0.00148722 0.0352007 9.49096e-05 -5.95869e-06 -0.000146574 -0.000468728 0.000171252 -5.57192e-05
30 -61 10 -0.0100088 -0.0289632 -4.86573e-05 -0.0821319 -0.347204 0.0017218 -0.0046055 0.00145471 0.0351417 9.37873e-05 -3.13268e-06 -0.000152959 -0.000482316 0.000169774 -5.75647e-05
30 -60.5 10 -0.00994381 -0.0300296 -6.34476e-05 -0.0798034 -0.355749 0.00156955 -0.00460904 0.00141483 0.0350517 9.69272e-05 -2.58715e-06 -0.000159562 -0.000497865 0.000168129 -5.88941e-05
30 -60 10 -0.00976263 -0.0309959 -4.42007e-05 -0.0771929 -0.363374 0.00183234 -0.00461401 0.00138621 0.0349909 9.50169e-05 -6.78941e-08 -0.000159726 -0.000513236 0.000164826 -6.10081e-05
30 -59.5 10 -0.00967205 -0.031893 -2.7051e-05 -0.0746976 -0.370361 0.00217716 -0.00462673 0.00135436 0.0349283 9.62021e-05 9.56328e-07 -0.000161326 -0.000527091 0.000163056 -6.25508e-05
30 -59 10 -0.00959154 -0.0327568 4.04616e-06 -0.0723736 -0.377103 0.00227927 -0.00463035 0.00131669 0.0348672 9.5904e-05 1.59789e-06 -0.000163512 -0.000540243 0.000161398 -6.41271e-05
30 -58.5 10 -0.00950035 -0.0337455 -3.14277e-05 -0.0702394 -0.384187 0.0018996 -0.00461898 0.00128568 0.0347898 9.63985e-05 2.37875e-06 -0.000173302 -0.000553691 0.000159335 -6.56081e-05
30 -58 10 -0.00943124 -0.0346852 -4.55606e-05 -0.0685456 -0.390973 0.00183574 -0.0046252 0.00125092 0.0347209 9.9182e-05 3.49168e-06 -0.000173416 -0.000568226 0.000157984 -6.68429e-05
30 -57.5 10 -0.00930985 -0.035548 -5.97755e-05 -0.0663761 -0.3972 0.00195802 -0.00462438 0.00122241 0.0346687 9.87231e-05 5.52561e-06 -0.00017081 -0.000582248 0.000155946 -6.8461e-05
30 -57 10 -0.00920031 -0.0364237 -5.6881e-05 -0.0642524 -0.403336 0.0020686 -0.00462196 0.00119066 0.0346123 9.76651e-05 7.99418e-06 -0.000171277 -0.000595788 0.000153952 -7.02127e-05
