# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
34 -37.5 14.5 -0.228814 -26.9322 0.221309 -0.0584608 -2.45054 0.0582441 0.000825471 0.000399172 0.0281626 0.0017851 -0.000205209 -0.0215062 -0.352927 0.0027367 0.0132634
34 -37.5 15 -0.0231824 -27.5501 0.184157 -0.00391267 -1.76057 -0.193733 0.00128564 0.000259984 0.0289028 0.00258855 -0.000310804 -0.0224968 -0.378388 0.000158643 0.0199861
34 -37.5 15.5 0.0776602 -28.755 0.389071 0.24345 -1.72623 0.0716142 0.00106738 0.000374341 0.0307659 0.00375708 -0.000239024 -0.0225167 -0.422966 0.00188838 0.0185744
34 -37.5 16 -0.0579897 -30.4809 0.422697 -0.0534422 -2.22256 0.0284198 0.000671457 0.000382262 0.0331563 0.00516854 -0.000262636 -0.0221405 -0.480789 0.0005851 0.0159729
34 -37.5 16.5 -0.100483 -32.932 0.48655 -0.030776 -0.788346 0.312359 6.50188e-05 0.000493782 0.0343542 0.00753821 -0.000350667 -0.0233359 -0.556544 0.00256004 0.00402255
34 -37.5 17 -0.166816 -36.1108 0.459706 -0.203459 -0.727373 0.343887 -0.00205207 0.000470851 0.0355243 0.0101321 -0.000412238 -0.0239414 -0.632735 0.00179794 -0.0333633
34 -37.5 17.5 -0.299403 -40.2508 0.446629 -0.630912 -1.3688 0.343491 -0.00584588 0.000443686 0.0364838 0.0128873 -0.000514066 -0.0247192 -0.717344 -0.00142828 -0.108735
34 -37.5 18 -0.409173 -45.939 0.370331 -0.585842 -5.39948 0.153629 -0.0134452 0.000635378 0.0387231 0.0144193 -0.000531716 -0.0236691 -0.825626 -0.00039294 -0.269875
34 -37.5 18.5 -0.476534 -51.7767 0.254362 -0.28439 -10.954 -0.106032 -0.0218906 0.000817143 0.041604 0.0153417 -0.000524553 -0.0214811 -0.959537 0.00326093 -0.482804
34 -37.5 19 -0.543736 -56.7136 0.17822 -0.580786 -23.2297 -0.405541 -0.0362759 0.00106564 0.0435107 0.0100573 -0.000329347 -0.0178863 -1.02624 0.00136325 -0.912048
34 -37.5 19.5 -0.528766 -59.4333 0.0404131 -0.783136 -37.36 -0.103818 -0.0492717 0.00123843 0.0441462 0.00347589 -5.79524e-06 -0.0147587 -1.03621 0.00471645 -1.39959
34 -37.5 20 -0.282994 -59.2099 -0.0143722 -0.783997 -55.8929 1.30871 -0.0601286 0.00145243 0.0452539 -0.00434588 0.00046784 -0.0110542 -1.03111 -0.000341589 -1.90195
