# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
-35 -74 10 -0.0368571 0.0807724 0.00706283 -0.215381 0.720946 0.103725 0.00597367 0.00265596 0.0424483 -0.000255391 -0.00040197 0.00448912 0.003344 0.00127355 -0.000154849
-34.5 -74 10 -0.0560449 0.0926165 0.00969731 -0.313127 0.623928 0.116223 0.00583715 0.00266639 0.0423576 -0.000258434 -0.000389935 0.00435162 0.00332879 0.00188155 -0.000203355
-34 -74 10 -0.100037 0.104073 0.00857664 -0.532542 0.556486 0.109749 0.00569334 0.00266813 0.0422167 -0.000270418 -0.000392177 0.00418267 0.00337069 0.00323492 -0.000250051
-33.5 -74 10 -0.157708 0.107924 0.0109002 -0.783595 0.475619 0.120252 0.00553122 0.00267847 0.0420525 -0.000273988 -0.000398987 0.00402313 0.00323538 0.00490594 -0.000288207
-33 -74 10 -0.21511 0.114036 0.0118805 -0.997043 0.429399 0.124193 0.00537195 0.00268595 0.0419175 -0.000275244 -0.000404053 0.00390753 0.00323813 0.00647124 -0.000334662
-32.5 -74 10 -0.27079 0.118574 0.0129529 -1.18335 0.387421 0.128402 0.00521613 0.00269311 0.0417745 -0.000272541 -0.000407125 0.0037958 0.00322067 0.00791821 -0.000380203
-32 -74 10 -0.324662 0.120327 0.0146309 -1.34941 0.352823 0.134212 0.00506367 0.00269985 0.0416353 -0.000269517 -0.000414396 0.00373946 0.00317267 0.00930068 -0.000415779
-31.5 -74 10 -0.383106 0.120591 0.0154185 -1.51594 0.323455 0.137428 0.00492121 0.00270712 0.0415047 -0.000256255 -0.000415213 0.00370993 0.0031102 0.0107827 -0.000459119
-31 -74 10 -0.444215 0.121758 0.0158182 -1.67093 0.292447 0.139589 0.00478456 0.00271644 0.0413753 -0.00024259 -0.000409949 0.00366806 0.00306238 0.0122752 -0.00051665
-30.5 -74 10 -0.500912 0.122333 0.0170831 -1.80599 0.271282 0.140905 0.00464115 0.00272588 0.041263 -0.000233786 -0.00040826 0.00366405 0.00302638 0.0136664 -0.000566228
-30 -74 10 -0.558133 0.122011 0.0169063 -1.9325 0.255015 0.137225 0.00451274 0.0027171 0.0411453 -0.000253516 -0.00044 0.00369319 0.00298821 0.0150716 -0.000576076
-29.5 -74 10 -0.614763 0.1193 0.0177041 -2.04923 0.232427 0.137876 0.0043824 0.00272438 0.041044 -0.000248201 -0.00044052 0.00372353 0.00288724 0.016453 -0.000618624
-29 -74 10 -0.669347 0.11573 0.0189204 -2.1603 0.20985 0.13937 0.00425107 0.00273639 0.0409653 -0.000231596 -0.000429173 0.00378968 0.00277211 0.0178275 -0.000673914
-28.5 -74 10 -0.727289 0.115598 0.0198686 -2.26152 0.19889 0.141594 0.00412703 0.00274765 0.0408731 -0.000219968 -0.000433701 0.00382715 0.00274641 0.0192163 -0.000725418
-28 -74 10 -0.782518 0.115163 0.0197611 -2.35469 0.186481 0.139354 0.00400579 0.00275252 0.0407607 -0.000220231 -0.000443867 0.00383707 0.00270857 0.0204898 -0.00076449
-27.5 -74 10 -0.837387 0.11422 0.0177316 -2.44838 0.172116 0.134816 0.00388975 0.00275852 0.0406951 -0.000216588 -0.000441669 0.00391226 0.0026661 0.021848 -0.000817795
-27 -74 10 -0.890318 0.11303 0.0202502 -2.53455 0.162448 0.144037 0.00377981 0.00277423 0.040626 -0.000191731 -0.000438791 0.0039697 0.00262193 0.0231402 -0.000876947
-26.5 -74 10 -0.939379 0.111609 0.0184252 -2.60739 0.148965 0.13962 0.0036741 0.00276851 0.040553 -0.000179441 -0.000463909 0.00403718 0.00257062 0.0243319 -0.000887211
-26 -74 10 -0.991011 0.109716 0.0181496 -2.67656 0.141329 0.13697 0.00356498 0.00277327 0.0404661 -0.000183553 -0.000470098 0.00406813 0.00251439 0.0255152 -0.000927645
-25.5 -74 10 -1.04379 0.10533 0.0192756 -2.75398 0.13226 0.135891 0.00346267 0.00279108 0.0404329 -0.000172765 -0.00044214 0.00421196 0.00241108 0.0269232 -0.00101877
-25 -74 10 -1.09651 0.103271 0.0187068 -2.82074 0.12928 0.128554 0.00334813 0.00278893 0.0403661 -0.000181491 -0.00045524 0.00425337 0.00236245 0.0281495 -0.00104814
-24.5 -74 10 -1.14058 0.101284 0.0196231 -2.87616 0.120185 0.127782 0.00324958 0.00279398 0.0403082 -0.000172241 -0.000464227 0.00433537 0.00230405 0.0292428 -0.00108
-24 -74 10 -1.18902 0.0999808 0.0208054 -2.93447 0.114493 0.126194 0.00315468 0.00279937 0.0402628 -0.000165608 -0.000456079 0.00440564 0.00226462 0.0304231 -0.0011433
-23.5 -74 10 -1.23312 0.0978436 0.0199443 -2.9865 0.107005 0.123897 0.00306353 0.00279999 0.0402093 -0.000158696 -0.000470146 0.00449474 0.00220879 0.0315239 -0.0011657
-23 -74 10 -1.27451 0.0957993 0.0207872 -3.0314 0.102272 0.12335 0.00297429 0.00280949 0.040162 -0.000144968 -0.000462947 0.00457282 0.00215693 0.0325465 -0.00122373
-22.5 -74 10 -1.31879 0.0933461 0.0214336 -3.07878 0.0919909 0.118501 0.00287622 0.00282238 0.0401362 -0.00016055 -0.000446217 0.00466635 0.0020841 0.0336702 -0.00130101
-22 -74 10 -1.36334 0.0905404 0.0206762 -3.12483 0.0876827 0.115714 0.00278381 0.00282582 0.040094 -0.00015322 -0.00045676 0.00474347 0.00202024 0.0347621 -0.00133194
-21.5 -74 10 -1.40699 0.0876323 0.0199806 -3.16629 0.0835812 0.113652 0.00269582 0.00283495 0.0400554 -0.000143764 -0.000454276 0.00481393 0.00195374 0.0358187 -0.0013873
-21 -74 10 -1.44356 0.0852686 0.0203181 -3.20758 0.0800841 0.110612 0.00260668 0.00284797 0.0400533 -0.000144498 -0.000440086 0.00494299 0.00190098 0.0368556 -0.00145514
-20.5 -74 10 -1.48297 0.083206 0.0179195 -3.24556 0.0764771 0.107946 0.00252658 0.0028387 0.0400188 -0.00013289 -0.000468275 0.00501406 0.00185647 0.0378255 -0.00144497
-20 -74 10 -1.52272 0.0806121 0.017495 -3.2799 0.0731306 0.104972 0.00244783 0.00284208 0.0399895 -0.000125954 -0.000472353 0.00508673 0.00179775 0.0388031 -0.00148327
-19.5 -74 10 -1.55767 0.0779831 0.0179917 -3.31289 0.0646573 0.103245 0.00236827 0.00284956 0.0399894 -0.000124676 -0.000470929 0.00521876 0.00172664 0.0398047 -0.00152759
-19 -74 10 -1.59467 0.0774402 0.0178649 -3.3467 0.0592922 0.102628 0.00229359 0.00286982 0.0399536 -0.000115214 -0.000435493 0.00524096 0.00169909 0.0406409 -0.00164487
-18.5 -74 10 -1.62817 0.0747525 0.0180157 -3.37225 0.0572545 0.0988298 0.00221482 0.0028726 0.0399374 -0.000112816 -0.000439615 0.00530859 0.00164053 0.0414778 -0.00167684
-18 -74 10 -1.66016 0.0715292 0.0181258 -3.3968 0.056744 0.0952698 0.00213745 0.00287633 0.0399309 -0.000109079 -0.000442837 0.00539628 0.00157624 0.0423251 -0.00170883
-17.5 -74 10 -1.69332 0.0679483 0.017789 -3.42117 0.0477715 0.0915783 0.0020602 0.00287736 0.0399221 -0.000117331 -0.000453017 0.0054906 0.00148262 0.0432055 -0.00172841
-17 -74 10 -1.7274 0.0669103 0.0167771 -3.44546 0.0499489 0.0888921 0.00199537 0.00288043 0.0398804 -9.89695e-05 -0.000449545 0.00552672 0.00146805 0.0439781 -0.00177767
-16.5 -74 10 -1.75513 0.0630193 0.016562 -3.47185 0.0429248 0.0890846 0.00192874 0.00288166 0.0399175 -8.50918e-05 -0.000455205 0.00567543 0.00137601 0.0448944 -0.00179759
-16 -74 10 -1.78272 0.0620961 0.0146639 -3.49886 0.0356634 0.0879297 0.00186434 0.00288456 0.0399317 -7.26772e-05 -0.000462533 0.00578927 0.00134222 0.0457319 -0.0018186
-15.5 -74 10 -1.81311 0.0585437 0.0152375 -3.51616 0.0356349 0.0817823 0.00178763 0.00289168 0.0399172 -8.7172e-05 -0.000455443 0.00586824 0.0012696 0.0465141 -0.00187154
-15 -74 10 -1.84088 0.0585941 0.0152165 -3.53115 0.0333735 0.0769448 0.00171634 0.00289917 0.0398692 -8.98605e-05 -0.000446452 0.00583127 0.00126047 0.0470024 -0.00192905
-14.5 -74 10 -1.86625 0.0536592 0.0144159 -3.54627 0.0337745 0.0768984 0.00165136 0.00288748 0.0398745 -7.14351e-05 -0.000473631 0.00595702 0.00116781 0.0477797 -0.00189768
-14 -74 10 -1.89155 0.05342 0.0136417 -3.56403 0.0350499 0.0710693 0.00157498 0.00287757 0.0398444 -8.97249e-05 -0.000497472 0.00595665 0.00116668 0.0483063 -0.00187554
-13.5 -74 10 -1.91677 0.0541779 0.0136309 -3.58089 0.0300352 0.0657649 0.00150928 0.00289476 0.0398156 -9.3246e-05 -0.000471344 0.00593978 0.00116353 0.0488007 -0.00196987
-13 -74 10 -1.93906 0.0510332 0.0133586 -3.59805 0.0278994 0.0632926 0.00144864 0.00290805 0.0398545 -8.20655e-05 -0.000454031 0.00607431 0.00109663 0.0495751 -0.00203845
-12.5 -74 10 -1.95976 0.0465089 0.0128079 -3.6138 0.0279661 0.0622563 0.00138718 0.0028998 0.0398932 -6.74703e-05 -0.000469664 0.00622426 0.00101078 0.0503439 -0.00202412
-12 -74 10 -1.98074 0.043991 0.0128278 -3.62453 0.0232843 0.0616464 0.00132882 0.00293004 0.0398991 -6.29648e-05 -0.000438321 0.00628163 0.000945449 0.0509054 -0.00213596
-11.5 -74 10 -2.00101 0.0413718 0.0111112 -3.63521 0.0256451 0.0595273 0.00126955 0.00291973 0.0398964 -5.41003e-05 -0.000452776 0.00633528 0.000903783 0.051437 -0.0021238
-11 -74 10 -2.02243 0.0401288 0.0107628 -3.64383 0.0237417 0.0566751 0.00120988 0.00292491 0.039853 -4.99196e-05 -0.000448351 0.00630503 0.000871439 0.0517923 -0.00216454
-10.5 -74 10 -2.03841 0.0380508 0.011045 -3.65661 0.0199479 0.0556183 0.00115505 0.00294063 0.0398789 -4.3509e-05 -0.000426344 0.00639865 0.000818148 0.0523485 -0.00223916
-10 -74 10 -2.05713 0.036239 0.0110213 -3.66375 0.0198065 0.0520771 0.00109142 0.00294264 0.0398712 -5.05087e-05 -0.000420547 0.00642198 0.000780781 0.052779 -0.00227558
