# y jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z VReGrad_x VReGrad_y VReGrad_z VImGrad_x VImGrad_y VImGrad_z s VRe VIm sigma mur
-0.075 -1817870 	-220.09419 	83.911779 	 -4451541.8 	-177.34696 	254.15409 	 3.2153451e-06 	0.0088216714 	0.038725554 	 5.494877e-07 	0.01157615 	0.0055171926 	 -6.5862563 	47478.959 	-33783.825 	 0.16147652 	2.48966e-05 	-5.90796e-05 	 0.37185649 	3.3338e-05 	-0.00021443892 		-0.075 -7.178691e-06 -2.7844579e-05 1200000 1
-0.07375 -1907948 	-0.04944037 	0.059253502 	 -4112751.2 	0.13120112 	-0.024334232 	 5.6969959e-09 	0.0090799572 	0.037940824 	 2.2273434e-09 	0.011471254 	0.0038541705 	 -0.00084098743 	44236.458 	-32216.845 	 0.14449889 	3.2301788e-06 	-3.1455014e-07 	 0.30305915 	-5.8821373e-06 	6.4579837e-08 		-0.07375 2.4706567e-07 9.8317307e-07 1200000 1
-0.0725 -1934379.7 	0.22435875 	0.1441341 	 -3771326.1 	0.26078447 	-0.23850481 	 6.1239358e-09 	0.0099186733 	0.035949441 	 2.2498369e-09 	0.012449107 	0.00051513275 	 0.0047924734 	35835.688 	-33050.339 	 0.11581047 	3.067849e-06 	-3.9757675e-07 	 0.18707806 	-6.1557651e-06 	2.4660596e-07 		-0.0725 2.5098665e-07 9.756398e-07 1200000 1
-0.07125 -1936230.3 	0.36931439 	0.1588603 	 -3452967.8 	0.24056103 	-0.39003883 	 6.4985976e-09 	0.010423356 	0.034048395 	 2.1808318e-09 	0.012786405 	-0.0021871968 	 0.0076609606 	29277.02 	-32178.016 	 0.088835228 	3.0135158e-06 	-4.2187972e-07 	 0.076089162 	-6.3075632e-06 	3.7728486e-07 		-0.07125 2.5475602e-07 9.6779886e-07 1200000 1
-0.07 -1919608.3 	0.26465313 	0.12605155 	 -3156479.6 	0.37920459 	-0.42086947 	 6.9858705e-09 	0.010737837 	0.032216747 	 2.166303e-09 	0.012770746 	-0.0044965602 	 0.0053348996 	23905.659 	-30493.668 	 0.063615823 	3.1658162e-06 	-4.0611896e-07 	 -0.0298401 	-6.595535e-06 	4.080815e-07 		-0.07 2.5854005e-07 9.5984126e-07 1200000 1
-0.06875 -1887837 	0.37487692 	0.13569226 	 -2880091.6 	0.38159827 	-0.63396497 	 7.4500025e-09 	0.010896775 	0.030461655 	 2.1603524e-09 	0.012545084 	-0.0064794232 	 0.0076787088 	19488.341 	-28400.281 	 0.04008169 	3.1330483e-06 	-4.2565421e-07 	 -0.13111824 	-6.773301e-06 	5.9116292e-07 		-0.06875 2.6262503e-07 9.5135741e-07 1200000 1
-0.0675 -1843059.4 	0.61086943 	0.15144313 	 -2623123.7 	0.32452023 	-0.55034111 	 8.0222384e-09 	0.010923769 	0.028770279 	 2.0117256e-09 	0.012106447 	-0.0081948418 	 0.0099004385 	15812.077 	-25999.701 	 0.018212429 	2.9903328e-06 	-4.489635e-07 	 -0.22788804 	-6.9051197e-06 	5.275835e-07 		-0.0675 2.663494e-07 9.4293891e-07 1200000 1
-0.06625 -1787374.7 	0.56398431 	0.11125942 	 -2384097.3 	0.49823399 	-0.52281603 	 8.4938298e-09 	0.010808044 	0.027122538 	 1.6597981e-09 	0.011440568 	-0.0096986265 	 0.007560468 	12728.643 	-23351.685 	 -0.0020581158 	3.0832553e-06 	-4.2512711e-07 	 -0.32049243 	-7.2310937e-06 	5.1141523e-07 		-0.06625 2.701518e-07 9.3399115e-07 1200000 1
-0.065 -1725431.9 	0.52487504 	0.092104655 	 -2165379.7 	0.60030341 	-0.62167953 	 9.0500911e-09 	0.0106437 	0.025597738 	 1.4722008e-09 	0.010914478 	-0.010941182 	 0.0062936716 	10270.166 	-21038.563 	 -0.020530177 	3.1664889e-06 	-4.1924518e-07 	 -0.40757206 	-7.4985397e-06 	6.0072469e-07 		-0.065 2.7409106e-07 9.2480951e-07 1200000 1
-0.06375 -1658939.8 	0.73651221 	0.12256797 	 -1963321.6 	0.3954694 	-0.58951284 	 9.7139036e-09 	0.010387769 	0.024196761 	 1.4529755e-09 	0.010404152 	-0.011954785 	 0.0089508772 	8361.2396 	-18860.379 	 -0.037384241 	3.0350534e-06 	-4.544178e-07 	 -0.48986813 	-7.5127358e-06 	5.8110279e-07 		-0.06375 2.7787925e-07 9.1568972e-07 1200000 1
-0.0625 -1585113.3 	0.81338309 	0.11572644 	 -1777052.9 	0.37272329 	-0.56417708 	 1.0254822e-08 	0.010074852 	0.02282815 	 1.1878924e-09 	0.0097659401 	-0.012867711 	 0.0090305002 	6687.5362 	-16700.347 	 -0.052856513 	3.0129816e-06 	-4.5788983e-07 	 -0.56848865 	-7.680112e-06 	5.6786705e-07 		-0.0625 2.8160025e-07 9.0630091e-07 1200000 1
-0.06125 -1507933.4 	0.71907791 	0.076023716 	 -1605833.7 	0.5515354 	-0.4844651 	 1.0785222e-08 	0.0096853088 	0.021541656 	 9.4000807e-10 	0.0090976294 	-0.013635124 	 0.0057958907 	5324.3729 	-14651.218 	 -0.066927939 	3.1318746e-06 	-4.3408696e-07 	 -0.64296491 	-8.015714e-06 	5.0978642e-07 		-0.06125 2.8533282e-07 8.9670829e-07 1200000 1
